Tracked Team,Tracked Team Rating,Date,Opponent,Tracked Team Score,Opponent Score,Result,Tournament
Spain,2157,2024-06-24,Albania,1,0,Spain 1 - 0 Albania,European Championship
Spain,2157,2024-06-30,Georgia,4,1,Spain 4 - 1 Georgia,European Championship
Spain,2157,2024-07-05,Germany,2,1,Spain 2 - 1 Germany,European Championship
Spain,2157,2024-07-09,France,2,1,Spain 2 - 1 France,European Championship
Spain,2157,2024-07-14,England,2,1,Spain 2 - 1 England,European Championship
Spain,2157,2024-09-05,Serbia,0,0,Spain 0 - 0 Serbia,European Nations League A
Spain,2157,2024-09-08,Switzerland,4,1,Spain 4 - 1 Switzerland,European Nations League A
Spain,2157,2024-10-12,Denmark,1,0,Spain 1 - 0 Denmark,European Nations League A
Spain,2157,2024-10-15,Serbia,3,0,Spain 3 - 0 Serbia,European Nations League A
Spain,2157,2024-11-15,Denmark,2,1,Spain 2 - 1 Denmark,European Nations League A
Spain,2157,2024-11-18,Switzerland,3,2,Spain 3 - 2 Switzerland,European Nations League A
Spain,2157,2025-03-20,Netherlands,2,2,Spain 2 - 2 Netherlands,European Nations League
Spain,2157,2025-03-23,Netherlands,3,3,Spain 3 - 3 Netherlands,European Nations League
Spain,2157,2025-06-05,France,5,4,Spain 5 - 4 France,European Nations League
Spain,2157,2025-06-08,Portugal,2,2,Spain 2 - 2 Portugal,European Nations League
Spain,2157,2025-09-04,Bulgaria,3,0,Spain 3 - 0 Bulgaria,World Cup qualifier
Spain,2157,2025-09-07,Turkey,6,0,Spain 6 - 0 Turkey,World Cup qualifier
Spain,2157,2025-10-11,Georgia,2,0,Spain 2 - 0 Georgia,World Cup qualifier
Spain,2157,2025-10-14,Bulgaria,4,0,Spain 4 - 0 Bulgaria,World Cup qualifier
Spain,2157,2025-11-15,Georgia,4,0,Spain 4 - 0 Georgia,World Cup qualifier
Spain,2157,2025-11-18,Turkey,2,2,Spain 2 - 2 Turkey,World Cup qualifier
Spain,2157,2026-03-27,Serbia,3,0,Spain 3 - 0 Serbia,Friendly
Spain,2157,2026-03-31,Egypt,0,0,Spain 0 - 0 Egypt,Friendly
Spain,2157,2026-06-04,Iraq,1,1,Spain 1 - 1 Iraq,Friendly
Spain,2157,2026-06-08,Peru,3,1,Spain 3 - 1 Peru,Friendly
Argentina,2115,2024-06-20,Canada,2,0,Argentina 2 - 0 Canada,Copa America
Argentina,2115,2024-06-25,Chile,1,0,Argentina 1 - 0 Chile,Copa America
Argentina,2115,2024-06-29,Peru,2,0,Argentina 2 - 0 Peru,Copa America
Argentina,2115,2024-07-04,Ecuador,1,1,Argentina 1 - 1 Ecuador,Copa America
Argentina,2115,2024-07-09,Canada,2,0,Argentina 2 - 0 Canada,Copa America
Argentina,2115,2024-07-14,Colombia,1,0,Argentina 1 - 0 Colombia,Copa America
Argentina,2115,2024-09-05,Chile,3,0,Argentina 3 - 0 Chile,World Cup qualifier
Argentina,2115,2024-09-10,Colombia,1,2,Argentina 1 - 2 Colombia,World Cup qualifier
Argentina,2115,2024-10-10,Venezuela,1,1,Argentina 1 - 1 Venezuela,World Cup qualifier
Argentina,2115,2024-10-15,Bolivia,6,0,Argentina 6 - 0 Bolivia,World Cup qualifier
Argentina,2115,2024-11-14,Paraguay,1,2,Argentina 1 - 2 Paraguay,World Cup qualifier
Argentina,2115,2024-11-19,Peru,1,0,Argentina 1 - 0 Peru,World Cup qualifier
Argentina,2115,2025-03-21,Uruguay,1,0,Argentina 1 - 0 Uruguay,World Cup qualifier
Argentina,2115,2025-03-25,Brazil,4,1,Argentina 4 - 1 Brazil,World Cup qualifier
Argentina,2115,2025-06-05,Chile,1,0,Argentina 1 - 0 Chile,World Cup qualifier
Argentina,2115,2025-06-10,Colombia,1,1,Argentina 1 - 1 Colombia,World Cup qualifier
Argentina,2115,2025-09-04,Venezuela,3,0,Argentina 3 - 0 Venezuela,World Cup qualifier
Argentina,2115,2025-09-09,Ecuador,0,1,Argentina 0 - 1 Ecuador,World Cup qualifier
Argentina,2115,2025-10-10,Venezuela,1,0,Argentina 1 - 0 Venezuela,Friendly
Argentina,2115,2025-10-14,Puerto Rico,6,0,Argentina 6 - 0 Puerto Rico,Friendly
Argentina,2115,2025-11-14,Angola,2,0,Argentina 2 - 0 Angola,Friendly
Argentina,2115,2026-03-27,Mauritania,2,1,Argentina 2 - 1 Mauritania,Friendly
